Emission Factors (g-compound / kg-biomass) from NEIVA for MOZART (T1&T6) 2025/10/31; EtO 2026/02/09
GenVegType,GenVegDescript,BC,OC,PM2.5,PM10,CO2,CH4,CO,NOx_asNO,HONO,NH3,SO2,SO2x0.975,so4_a1,num_a1_so4,DMS,OCS,H2,N2O,HCN,CH3CN,HNCO,HCL,CH3I,CH3BR,CH3CL,C2H2,C2H4,C2H6,C3H6,C3H8,BIGENE,BIGALK,ISOBUTANE,NBUTANE,IPENTANE,NPENTANE,C6ALKANES,ISOP,MTERP,BENZENE,TOLUENE,XYLENES,STYRENE,C2H4O,CH3OH,C2H5OH,IPROPANOL,CH2O,CH3CHO,GLYOXAL,GLYALD,CH3COCHO,PROPANAL,BUTANAL,CH3COCH3,HYAC,MEK,MACR,MVK,HCOOH,CH3COOH,BIACETYL,FURAN,FURAN2M,FURAN3M,FURAN25M,FURANONE,FURFAL,MALARKY,ALKNIT,PHENOL,CRESOL,BZALD,bc_a4,pom_a4,num_a4_bc,num_a4_pom,SVOC,IVOC,SOAE
0,MolecularWeight,1,1,1,1,44,16,28,30,47,17,64,64,115,1,62,60,2,44,27,41,43,48,141,94,62,26,28,30,42,44,56,104,58,58,72,72,86,68,136,78,92,106,104,44,31,46,60,30,44,58,60,72,58,102,58,74,72,70,70,46,60,86,68,82,82,96,84,96,98,114,101,114,128,12,12,1,1,310,184,12
1,SavannaGrasslands,0.35,3,6.7,8.04,1640.333,2.828,80.95,3.404,0.499,0.659,0.944,0.92,0.024,4.87E+19,0.011,0.057,0.97,0.14,0.485,0.235,1.05,0.236,0.001,0.002,0.091,0.354,1.204,0.614,0.717,0.097,2.189,0.95,0.007,0.031,0.013,0.016,1.367,0.102,0.08,0.434,0.223,0.335,0.107,0.048,1.21,0.309,0.013,1.698,2.447,0.717,0.611,1.376,0.419,0.09,0.514,1.16,0.144,0.124,0.424,0.383,3.401,0.885,0.335,0.23,0.012,0.274,0.939,2.889,0.109,0.03,0.43,0.49,0.49,0.35,4.2,1.96E+18,4.00E+19,0.098,5.48,54.312
2,WoodySavanna,0.624,3.7,7.1,8.52,1649,2.572,66.6,2.423,0.552,0.909,0.553,0.539,0.014,2.85E+19,0.007,0.031,0.97,0.25,0.268,0.099,0.302,0.087,0,0.001,0.594,0.348,0.964,0.475,0.347,0.416,1.62,0.81,0.018,0.076,0.008,0.015,0.98,0.202,0.119,0.438,0.226,0.396,0.064,0.007,0.934,0.033,0.001,1.249,0.914,0.158,0.184,0.363,0.158,0.18,0.324,0.391,0.111,0.057,0.214,0.402,1.542,0.265,0.198,0.117,0.01,0.066,0.323,0.618,0.146,0.03,0.31,0.17,0.24,0.624,5.18,3.50E+18,4.94E+19,0.12,3.077,34.935
3,TropicalForest,0.344,4.4,8.3,9.96,1624.857,4.681,110.761,2.55,1.18,1.327,0.403,0.393,0.01,2.08E+19,0.001,0.025,3.1,0.2,0.423,0.41,0,0.13,0.003,0.003,0.053,0.438,1.058,0.708,0.636,0.126,0.875,0.97,0.011,0.038,0.01,0.008,0.145,0.128,0,0.385,0.303,0.125,0,0.014,2.433,0,0,1.73,1.55,0,2.838,0,0.1,0.79,0.63,1.13,0.5,0.15,0.39,0.788,3.053,0.73,0.41,0.08,0.59,0,0,0.29,0,0.02,0.45,0,0.38,0.344,6.16,1.93E+18,5.87E+19,0.143,4.091,42.13
4,TemperateForest,0.435,11.3,18.9,22.68,1581.128,4.744,95.954,1.651,0.378,1.063,0.95,0.926,0.024,4.90E+19,0.016,0.02,2.1,0.155,0.493,0.209,0.405,0.053,0.001,0.002,0.044,0.332,1.361,0.789,0.69,0.3,4.057,1.55,0.047,0.105,0.029,0.053,1.584,0.258,0.988,0.509,0.483,0.935,0.084,0.012,1.827,0.182,0.006,2.036,1.56,0.235,0.573,0.527,0.178,0.32,0.636,0.621,0.169,0.094,0.308,0.497,2.514,0.604,0.396,0.191,0.028,0.085,0.484,1.27,0.097,0.16,0.39,0.32,0.59,0.435,15.82,2.44E+18,1.51E+20,0.367,6.83,82.135
5,Boreal,0.13,5.9,18.8,22.56,1609.8,4.784,100.48,1.21,0.255,1.471,0.564,0.55,0.014,2.91E+19,0.004,0.206,1.6,0.205,0.926,0.218,0.083,0.049,0,0.002,0.055,0.344,1.662,0.959,0.826,0.31,2.82,1.1,0.04,0.095,0.016,0.057,1.077,0.425,2.981,0.751,1.601,0.663,0.11,0.013,2.138,0.027,0.004,1.679,1.595,0,0.74,0.482,0.013,0.2,0.73,0.312,0.105,0.07,0.175,0.453,3.384,0.228,0.503,0.27,0.018,0.129,0.334,1.167,0.07,0.02,1.25,0.32,0.24,0.13,8.26,7.28E+17,7.87E+19,0.192,6.803,96.747
6,TemperateEvergreenForest,0.435,11.3,18.9,22.68,1581.128,4.744,95.954,1.651,0.378,1.063,0.95,0.926,0.024,4.90E+19,0.016,0.02,2.1,0.155,0.493,0.209,0.405,0.053,0.001,0.002,0.044,0.332,1.361,0.789,0.69,0.3,4.057,1.55,0.047,0.105,0.029,0.053,1.584,0.258,0.988,0.509,0.483,0.935,0.084,0.012,1.827,0.182,0.006,2.036,1.56,0.235,0.573,0.527,0.178,0.32,0.636,0.621,0.169,0.094,0.308,0.497,2.514,0.604,0.396,0.191,0.028,0.085,0.484,1.27,0.097,0.16,0.39,0.32,0.59,0.435,15.82,2.44E+18,1.51E+20,0.367,6.83,82.135
9,Crops,0.446,4.9,8.2,9.84,1441.409,2.142,57.542,2.052,0.353,0.968,1.245,1.214,0.031,6.42E+19,0.014,0.033,2.6,0.09,0.321,0.218,0.469,0.261,0.001,0.002,0.162,0.237,0.889,0.524,0.37,0.171,2.462,0.9,0.019,0.054,0.022,0.027,1.412,0.291,0.099,0.242,0.216,0.542,0.04,0.041,1.691,0.247,0.008,1.748,2.103,0.344,1.61,1.118,0.207,0.16,0.501,2.164,0.251,0.132,0.426,0.496,2.655,0.383,0.253,0.181,0.027,0.161,0.724,1.806,0.063,0.09,0.41,0.43,0.48,0.446,6.86,2.50E+18,6.54E+19,0.159,6.09,61.756
